sex	age	l	m	s
1	272	-0.4265	6.7604	0.17404
1	273	-0.4271	6.7565	0.17406
1	274	-0.4277	6.7527	0.17408
1	275	-0.4283	6.7489	0.1741
1	276	-0.4288	6.7451	0.17411
1	277	-0.4294	6.7413	0.17413
1	278	-0.43	6.7376	0.17415
1	279	-0.4306	6.7338	0.17417
1	280	-0.4311	6.7301	0.17419
1	281	-0.4317	6.7263	0.1742
1	282	-0.4323	6.7226	0.17422
1	283	-0.4329	6.7189	0.17424
1	284	-0.4334	6.7152	0.17426
1	285	-0.434	6.7116	0.17428
1	286	-0.4346	6.7079	0.17429
1	287	-0.4351	6.7042	0.17431
1	288	-0.4357	6.7006	0.17433
1	289	-0.4363	6.697	0.17435
1	290	-0.4368	6.6934	0.17436
1	291	-0.4374	6.6898	0.17438
1	292	-0.438	6.6862	0.1744
1	293	-0.4385	6.6826	0.17442
1	294	-0.4391	6.679	0.17443
1	295	-0.4397	6.6755	0.17445
1	296	-0.4402	6.6719	0.17447
1	297	-0.4408	6.6684	0.17449
1	298	-0.4414	6.6649	0.17451
1	299	-0.4419	6.6614	0.17452
1	300	-0.4425	6.6579	0.17454
1	301	-0.443	6.6544	0.17456
1	302	-0.4436	6.651	0.17457
1	303	-0.4441	6.6475	0.17459
1	304	-0.4447	6.6441	0.17461
1	305	-0.4453	6.6407	0.17463
1	306	-0.4458	6.6373	0.17464
1	307	-0.4464	6.6339	0.17466
1	308	-0.4469	6.6305	0.17468
1	309	-0.4475	6.6271	0.1747
1	310	-0.448	6.6237	0.17471
1	311	-0.4486	6.6204	0.17473
1	312	-0.4491	6.6171	0.17475
1	313	-0.4497	6.6137	0.17477
1	314	-0.4502	6.6104	0.17478
1	315	-0.4508	6.6071	0.1748
1	316	-0.4514	6.6038	0.17482
1	317	-0.4519	6.6006	0.17483
1	318	-0.4524	6.5973	0.17485
1	319	-0.453	6.594	0.17487
1	320	-0.4535	6.5908	0.17489
1	321	-0.4541	6.5876	0.1749
1	322	-0.4546	6.5844	0.17492
1	323	-0.4552	6.5812	0.17494
1	324	-0.4557	6.578	0.17495
1	325	-0.4563	6.5748	0.17497
1	326	-0.4568	6.5716	0.17499
1	327	-0.4574	6.5685	0.175
1	328	-0.4579	6.5653	0.17502
1	329	-0.4584	6.5622	0.17504
1	330	-0.459	6.5591	0.17505
1	331	-0.4595	6.5559	0.17507
1	332	-0.4601	6.5528	0.17509
1	333	-0.4606	6.5498	0.17511
1	334	-0.4612	6.5467	0.17512
1	335	-0.4617	6.5436	0.17514
1	336	-0.4622	6.5406	0.17516
1	337	-0.4628	6.5375	0.17517
1	338	-0.4633	6.5345	0.17519
1	339	-0.4638	6.5315	0.17521
1	340	-0.4644	6.5285	0.17522
1	341	-0.4649	6.5255	0.17524
1	342	-0.4655	6.5225	0.17526
1	343	-0.466	6.5195	0.17527
1	344	-0.4665	6.5165	0.17529
1	345	-0.4671	6.5136	0.17531
1	346	-0.4676	6.5107	0.17532
1	347	-0.4681	6.5077	0.17534
1	348	-0.4687	6.5048	0.17536
1	349	-0.4692	6.5019	0.17537
1	350	-0.4697	6.499	0.17539
1	351	-0.4702	6.4961	0.17541
1	352	-0.4708	6.4932	0.17542
1	353	-0.4713	6.4904	0.17544
1	354	-0.4718	6.4875	0.17546
1	355	-0.4724	6.4847	0.17547
1	356	-0.4729	6.4819	0.17549
1	357	-0.4734	6.479	0.1755
1	358	-0.4739	6.4762	0.17552
1	359	-0.4745	6.4734	0.17554
1	360	-0.475	6.4706	0.17555
1	361	-0.4755	6.4679	0.17557
1	362	-0.476	6.4651	0.17559
1	363	-0.4766	6.4624	0.1756
1	364	-0.4771	6.4596	0.17562
1	365	-0.4776	6.4569	0.17564
1	366	-0.4781	6.4542	0.17565
1	367	-0.4787	6.4514	0.17567
1	368	-0.4792	6.4487	0.17568
1	369	-0.4797	6.446	0.1757
1	370	-0.4802	6.4434	0.17572
1	371	-0.4807	6.4407	0.17573
1	372	-0.4813	6.438	0.17575
1	373	-0.4818	6.4354	0.17577
1	374	-0.4823	6.4328	0.17578
1	375	-0.4828	6.4301	0.1758
1	376	-0.4833	6.4275	0.17581
1	377	-0.4839	6.4249	0.17583
1	378	-0.4844	6.4223	0.17585
1	379	-0.4849	6.4197	0.17586
1	380	-0.4854	6.4171	0.17588
1	381	-0.4859	6.4146	0.17589
1	382	-0.4864	6.412	0.17591
1	383	-0.4869	6.4095	0.17593
1	384	-0.4875	6.4069	0.17594
1	385	-0.488	6.4044	0.17596
1	386	-0.4885	6.4019	0.17597
1	387	-0.489	6.3994	0.17599
1	388	-0.4895	6.3969	0.17601
1	389	-0.49	6.3944	0.17602
1	390	-0.4905	6.3919	0.17604
1	391	-0.491	6.3894	0.17605
1	392	-0.4916	6.387	0.17607
1	393	-0.4921	6.3845	0.17609
1	394	-0.4926	6.3821	0.1761
1	395	-0.4931	6.3796	0.17612
1	396	-0.4936	6.3772	0.17613
1	397	-0.4941	6.3748	0.17615
1	398	-0.4946	6.3724	0.17617
1	399	-0.4951	6.37	0.17618
1	400	-0.4956	6.3676	0.1762
1	401	-0.4961	6.3653	0.17621
1	402	-0.4966	6.3629	0.17623
1	403	-0.4971	6.3605	0.17624
1	404	-0.4976	6.3582	0.17626
1	405	-0.4981	6.3558	0.17628
1	406	-0.4986	6.3535	0.17629
1	407	-0.4992	6.3512	0.17631
1	408	-0.4997	6.3489	0.17632
1	409	-0.5002	6.3466	0.17634
1	410	-0.5007	6.3443	0.17635
1	411	-0.5012	6.342	0.17637
1	412	-0.5017	6.3397	0.17639
1	413	-0.5022	6.3375	0.1764
1	414	-0.5027	6.3352	0.17642
1	415	-0.5032	6.333	0.17643
1	416	-0.5037	6.3307	0.17645
1	417	-0.5042	6.3285	0.17646
1	418	-0.5047	6.3263	0.17648
1	419	-0.5052	6.324	0.17649
1	420	-0.5057	6.3218	0.17651
1	421	-0.5062	6.3196	0.17653
1	422	-0.5067	6.3175	0.17654
1	423	-0.5072	6.3153	0.17656
1	424	-0.5076	6.3131	0.17657
1	425	-0.5081	6.3109	0.17659
1	426	-0.5086	6.3088	0.1766
1	427	-0.5091	6.3066	0.17662
1	428	-0.5096	6.3045	0.17663
1	429	-0.5101	6.3024	0.17665
1	430	-0.5106	6.3003	0.17666
1	431	-0.5111	6.2981	0.17668
1	432	-0.5116	6.296	0.17669
1	433	-0.5121	6.2939	0.17671
1	434	-0.5126	6.2918	0.17673
1	435	-0.5131	6.2898	0.17674
1	436	-0.5136	6.2877	0.17676
1	437	-0.5141	6.2856	0.17677
1	438	-0.5146	6.2836	0.17679
1	439	-0.515	6.2815	0.1768
1	440	-0.5155	6.2795	0.17682
1	441	-0.516	6.2775	0.17683
1	442	-0.5165	6.2754	0.17685
1	443	-0.517	6.2734	0.17686
1	444	-0.5175	6.2714	0.17688
1	445	-0.518	6.2694	0.17689
1	446	-0.5185	6.2674	0.17691
1	447	-0.519	6.2654	0.17692
1	448	-0.5194	6.2635	0.17694
1	449	-0.5199	6.2615	0.17695
1	450	-0.5204	6.2595	0.17697
1	451	-0.5209	6.2576	0.17698
1	452	-0.5214	6.2556	0.177
1	453	-0.5219	6.2537	0.17701
1	454	-0.5224	6.2518	0.17703
1	455	-0.5228	6.2498	0.17705
1	456	-0.5233	6.2479	0.17706
1	457	-0.5238	6.246	0.17708
1	458	-0.5243	6.2441	0.17709
1	459	-0.5248	6.2422	0.17711
1	460	-0.5253	6.2403	0.17712
1	461	-0.5257	6.2384	0.17714
1	462	-0.5262	6.2366	0.17715
1	463	-0.5267	6.2347	0.17717
1	464	-0.5272	6.2329	0.17718
1	465	-0.5277	6.231	0.1772
1	466	-0.5281	6.2292	0.17721
1	467	-0.5286	6.2273	0.17723
1	468	-0.5291	6.2255	0.17724
1	469	-0.5296	6.2237	0.17726
1	470	-0.5301	6.2219	0.17727
1	471	-0.5305	6.2201	0.17729
1	472	-0.531	6.2183	0.1773
1	473	-0.5315	6.2165	0.17731
1	474	-0.532	6.2147	0.17733
1	475	-0.5324	6.2129	0.17734
1	476	-0.5329	6.2111	0.17736
1	477	-0.5334	6.2094	0.17737
1	478	-0.5339	6.2076	0.17739
1	479	-0.5344	6.2059	0.1774
1	480	-0.5348	6.2041	0.17742
1	481	-0.5353	6.2024	0.17743
1	482	-0.5358	6.2006	0.17745
1	483	-0.5362	6.1989	0.17746
1	484	-0.5367	6.1972	0.17748
1	485	-0.5372	6.1955	0.17749
1	486	-0.5377	6.1938	0.17751
1	487	-0.5381	6.1921	0.17752
1	488	-0.5386	6.1904	0.17754
1	489	-0.5391	6.1887	0.17755
1	490	-0.5396	6.1871	0.17757
1	491	-0.54	6.1854	0.17758
1	492	-0.5405	6.1837	0.1776
1	493	-0.541	6.1821	0.17761
1	494	-0.5414	6.1804	0.17763
1	495	-0.5419	6.1788	0.17764
1	496	-0.5424	6.1771	0.17765
1	497	-0.5429	6.1755	0.17767
1	498	-0.5433	6.1739	0.17768
1	499	-0.5438	6.1723	0.1777
1	500	-0.5443	6.1706	0.17771
1	501	-0.5447	6.169	0.17773
1	502	-0.5452	6.1674	0.17774
1	503	-0.5457	6.1658	0.17776
1	504	-0.5461	6.1643	0.17777
1	505	-0.5466	6.1627	0.17779
1	506	-0.5471	6.1611	0.1778
1	507	-0.5475	6.1595	0.17781
1	508	-0.548	6.158	0.17783
1	509	-0.5485	6.1564	0.17784
1	510	-0.5489	6.1549	0.17786
1	511	-0.5494	6.1533	0.17787
1	512	-0.5499	6.1518	0.17789
1	513	-0.5503	6.1502	0.1779
1	514	-0.5508	6.1487	0.17792
1	515	-0.5512	6.1472	0.17793
1	516	-0.5517	6.1457	0.17795
1	517	-0.5522	6.1442	0.17796
1	518	-0.5526	6.1427	0.17797
1	519	-0.5531	6.1412	0.17799
1	520	-0.5536	6.1397	0.178
1	521	-0.554	6.1382	0.17802
1	522	-0.5545	6.1367	0.17803
1	523	-0.5549	6.1352	0.17805
1	524	-0.5554	6.1338	0.17806
1	525	-0.5559	6.1323	0.17807
1	526	-0.5563	6.1308	0.17809
1	527	-0.5568	6.1294	0.1781
1	528	-0.5572	6.1279	0.17812
1	529	-0.5577	6.1265	0.17813
1	530	-0.5582	6.1251	0.17815
1	531	-0.5586	6.1236	0.17816
1	532	-0.5591	6.1222	0.17817
1	533	-0.5595	6.1208	0.17819
1	534	-0.56	6.1194	0.1782
1	535	-0.5605	6.118	0.17822
1	536	-0.5609	6.1166	0.17823
1	537	-0.5614	6.1152	0.17825
1	538	-0.5618	6.1138	0.17826
1	539	-0.5623	6.1124	0.17827
1	540	-0.5627	6.111	0.17829
1	541	-0.5632	6.1096	0.1783
1	542	-0.5636	6.1082	0.17832
1	543	-0.5641	6.1069	0.17833
1	544	-0.5646	6.1055	0.17835
1	545	-0.565	6.1041	0.17836
1	546	-0.5655	6.1028	0.17837
1	547	-0.5659	6.1014	0.17839
1	548	-0.5664	6.1001	0.1784
1	549	-0.5668	6.0988	0.17842
1	550	-0.5673	6.0974	0.17843
1	551	-0.5677	6.0961	0.17844
1	552	-0.5682	6.0948	0.17846
1	553	-0.5686	6.0934	0.17847
1	554	-0.5691	6.0921	0.17849
1	555	-0.5695	6.0908	0.1785
1	556	-0.57	6.0895	0.17852
1	557	-0.5704	6.0882	0.17853
1	558	-0.5709	6.0869	0.17854
1	559	-0.5713	6.0856	0.17856
1	560	-0.5718	6.0843	0.17857
1	561	-0.5722	6.0831	0.17859
1	562	-0.5727	6.0818	0.1786
1	563	-0.5731	6.0805	0.17861
1	564	-0.5736	6.0793	0.17863
1	565	-0.574	6.078	0.17864
1	566	-0.5745	6.0767	0.17866
1	567	-0.5749	6.0755	0.17867
1	568	-0.5754	6.0742	0.17868
1	569	-0.5758	6.073	0.1787
1	570	-0.5763	6.0718	0.17871
1	571	-0.5767	6.0705	0.17873
1	572	-0.5772	6.0693	0.17874
1	573	-0.5776	6.0681	0.17875
1	574	-0.5781	6.0669	0.17877
1	575	-0.5785	6.0656	0.17878
1	576	-0.579	6.0644	0.17879
1	577	-0.5794	6.0632	0.17881
1	578	-0.5799	6.062	0.17882
1	579	-0.5803	6.0608	0.17884
1	580	-0.5807	6.0597	0.17885
1	581	-0.5812	6.0585	0.17886
1	582	-0.5816	6.0573	0.17888
1	583	-0.5821	6.0561	0.17889
1	584	-0.5825	6.0549	0.17891
1	585	-0.583	6.0538	0.17892
1	586	-0.5834	6.0526	0.17893
1	587	-0.5839	6.0515	0.17895
1	588	-0.5843	6.0503	0.17896
1	589	-0.5847	6.0492	0.17897
1	590	-0.5852	6.048	0.17899
1	591	-0.5856	6.0469	0.179
1	592	-0.5861	6.0457	0.17902
1	593	-0.5865	6.0446	0.17903
1	594	-0.5869	6.0435	0.17904
1	595	-0.5874	6.0424	0.17906
1	596	-0.5878	6.0413	0.17907
1	597	-0.5883	6.0401	0.17908
1	598	-0.5887	6.039	0.1791
1	599	-0.5891	6.0379	0.17911
1	600	-0.5896	6.0368	0.17913
1	601	-0.59	6.0357	0.17914
1	602	-0.5905	6.0347	0.17915
1	603	-0.5909	6.0336	0.17917
1	604	-0.5913	6.0325	0.17918
1	605	-0.5918	6.0314	0.17919
1	606	-0.5922	6.0303	0.17921
1	607	-0.5927	6.0293	0.17922
1	608	-0.5931	6.0282	0.17924
1	609	-0.5935	6.0272	0.17925
1	610	-0.594	6.0261	0.17926
1	611	-0.5944	6.0251	0.17928
1	612	-0.5948	6.024	0.17929
1	613	-0.5953	6.023	0.1793
1	614	-0.5957	6.0219	0.17932
1	615	-0.5961	6.0209	0.17933
1	616	-0.5966	6.0199	0.17934
1	617	-0.597	6.0189	0.17936
1	618	-0.5975	6.0178	0.17937
1	619	-0.5979	6.0168	0.17938
1	620	-0.5983	6.0158	0.1794
1	621	-0.5988	6.0148	0.17941
1	622	-0.5992	6.0138	0.17943
1	623	-0.5996	6.0128	0.17944
1	624	-0.6001	6.0118	0.17945
1	625	-0.6005	6.0108	0.17947
1	626	-0.6009	6.0098	0.17948
1	627	-0.6014	6.0089	0.17949
1	628	-0.6018	6.0079	0.17951
1	629	-0.6022	6.0069	0.17952
1	630	-0.6027	6.0059	0.17953
1	631	-0.6031	6.005	0.17955
1	632	-0.6035	6.004	0.17956
1	633	-0.6039	6.0031	0.17957
1	634	-0.6044	6.0021	0.17959
1	635	-0.6048	6.0012	0.1796
1	636	-0.6052	6.0002	0.17961
1	637	-0.6057	5.9993	0.17963
1	638	-0.6061	5.9983	0.17964
1	639	-0.6065	5.9974	0.17965
1	640	-0.607	5.9965	0.17967
1	641	-0.6074	5.9955	0.17968
1	642	-0.6078	5.9946	0.17969
1	643	-0.6082	5.9937	0.17971
1	644	-0.6087	5.9928	0.17972
1	645	-0.6091	5.9919	0.17973
1	646	-0.6095	5.991	0.17975
1	647	-0.61	5.9901	0.17976
1	648	-0.6104	5.9892	0.17977
1	649	-0.6108	5.9883	0.17979
1	650	-0.6112	5.9874	0.1798
1	651	-0.6117	5.9865	0.17981
1	652	-0.6121	5.9856	0.17983
1	653	-0.6125	5.9847	0.17984
1	654	-0.613	5.9839	0.17985
1	655	-0.6134	5.983	0.17987
1	656	-0.6138	5.9821	0.17988
1	657	-0.6142	5.9812	0.17989
1	658	-0.6147	5.9804	0.17991
1	659	-0.6151	5.9795	0.17992
1	660	-0.6155	5.9787	0.17993
1	661	-0.6159	5.9778	0.17995
1	662	-0.6164	5.977	0.17996
1	663	-0.6168	5.9761	0.17997
1	664	-0.6172	5.9753	0.17999
1	665	-0.6176	5.9744	0.18
1	666	-0.6181	5.9736	0.18001
1	667	-0.6185	5.9728	0.18003
1	668	-0.6189	5.9719	0.18004
1	669	-0.6193	5.9711	0.18005
1	670	-0.6197	5.9703	0.18007
1	671	-0.6202	5.9695	0.18008
1	672	-0.6206	5.9687	0.18009
1	673	-0.621	5.9678	0.18011
1	674	-0.6214	5.967	0.18012
1	675	-0.6219	5.9662	0.18013
1	676	-0.6223	5.9654	0.18015
1	677	-0.6227	5.9646	0.18016
1	678	-0.6231	5.9638	0.18017
1	679	-0.6235	5.963	0.18018
1	680	-0.624	5.9622	0.1802
1	681	-0.6244	5.9615	0.18021
1	682	-0.6248	5.9607	0.18022
1	683	-0.6252	5.9599	0.18024
1	684	-0.6256	5.9591	0.18025
1	685	-0.6261	5.9583	0.18026
1	686	-0.6265	5.9576	0.18028
1	687	-0.6269	5.9568	0.18029
1	688	-0.6273	5.956	0.1803
1	689	-0.6277	5.9553	0.18032
1	690	-0.6282	5.9545	0.18033
1	691	-0.6286	5.9537	0.18034
1	692	-0.629	5.953	0.18035
1	693	-0.6294	5.9522	0.18037
1	694	-0.6298	5.9515	0.18038
1	695	-0.6302	5.9507	0.18039
1	696	-0.6307	5.95	0.18041
1	697	-0.6311	5.9492	0.18042
1	698	-0.6315	5.9485	0.18043
1	699	-0.6319	5.9478	0.18045
1	700	-0.6323	5.947	0.18046
1	701	-0.6327	5.9463	0.18047
1	702	-0.6332	5.9456	0.18048
1	703	-0.6336	5.9448	0.1805
1	704	-0.634	5.9441	0.18051
1	705	-0.6344	5.9434	0.18052
1	706	-0.6348	5.9427	0.18054
1	707	-0.6352	5.942	0.18055
1	708	-0.6357	5.9412	0.18056
1	709	-0.6361	5.9405	0.18057
1	710	-0.6365	5.9398	0.18059
1	711	-0.6369	5.9391	0.1806
1	712	-0.6373	5.9384	0.18061
1	713	-0.6377	5.9377	0.18063
1	714	-0.6381	5.937	0.18064
1	715	-0.6385	5.9363	0.18065
1	716	-0.639	5.9356	0.18067
1	717	-0.6394	5.9349	0.18068
1	718	-0.6398	5.9342	0.18069
1	719	-0.6402	5.9336	0.1807
1	720	-0.6406	5.9329	0.18072
1	721	-0.641	5.9322	0.18073
1	722	-0.6414	5.9315	0.18074
1	723	-0.6418	5.9308	0.18076
1	724	-0.6423	5.9302	0.18077
1	725	-0.6427	5.9295	0.18078
1	726	-0.6431	5.9288	0.18079
1	727	-0.6435	5.9281	0.18081
1	728	-0.6439	5.9275	0.18082
1	729	-0.6443	5.9268	0.18083
1	730	-0.6447	5.9261	0.18084
1	731	-0.6451	5.9255	0.18086
1	732	-0.6455	5.9248	0.18087
1	733	-0.646	5.9242	0.18088
1	734	-0.6464	5.9235	0.1809
1	735	-0.6468	5.9229	0.18091
1	736	-0.6472	5.9222	0.18092
1	737	-0.6476	5.9216	0.18093
1	738	-0.648	5.9209	0.18095
1	739	-0.6484	5.9203	0.18096
1	740	-0.6488	5.9196	0.18097
1	741	-0.6492	5.919	0.18099
1	742	-0.6496	5.9184	0.181
1	743	-0.65	5.9177	0.18101
1	744	-0.6504	5.9171	0.18102
1	745	-0.6509	5.9165	0.18104
1	746	-0.6513	5.9158	0.18105
1	747	-0.6517	5.9152	0.18106
1	748	-0.6521	5.9146	0.18107
1	749	-0.6525	5.914	0.18109
1	750	-0.6529	5.9133	0.1811
1	751	-0.6533	5.9127	0.18111
1	752	-0.6537	5.9121	0.18112
1	753	-0.6541	5.9115	0.18114
1	754	-0.6545	5.9109	0.18115
1	755	-0.6549	5.9103	0.18116
1	756	-0.6553	5.9097	0.18118
1	757	-0.6557	5.909	0.18119
1	758	-0.6561	5.9084	0.1812
1	759	-0.6565	5.9078	0.18121
1	760	-0.6569	5.9072	0.18123
1	761	-0.6573	5.9066	0.18124
1	762	-0.6578	5.906	0.18125
1	763	-0.6582	5.9054	0.18126
1	764	-0.6586	5.9048	0.18128
1	765	-0.659	5.9042	0.18129
1	766	-0.6594	5.9036	0.1813
1	767	-0.6598	5.9031	0.18131
1	768	-0.6602	5.9025	0.18133
1	769	-0.6606	5.9019	0.18134
1	770	-0.661	5.9013	0.18135
1	771	-0.6614	5.9007	0.18136
1	772	-0.6618	5.9001	0.18138
1	773	-0.6622	5.8995	0.18139
1	774	-0.6626	5.899	0.1814
1	775	-0.663	5.8984	0.18141
1	776	-0.6634	5.8978	0.18143
1	777	-0.6638	5.8972	0.18144
1	778	-0.6642	5.8967	0.18145
1	779	-0.6646	5.8961	0.18146
1	780	-0.665	5.8955	0.18148
1	781	-0.6654	5.895	0.18149
1	782	-0.6658	5.8944	0.1815
1	783	-0.6662	5.8938	0.18151
1	784	-0.6666	5.8933	0.18153
1	785	-0.667	5.8927	0.18154
1	786	-0.6674	5.8921	0.18155
1	787	-0.6678	5.8916	0.18156
1	788	-0.6682	5.891	0.18158
1	789	-0.6686	5.8905	0.18159
1	790	-0.669	5.8899	0.1816
1	791	-0.6694	5.8893	0.18161
1	792	-0.6698	5.8888	0.18163
1	793	-0.6702	5.8882	0.18164
1	794	-0.6706	5.8877	0.18165
1	795	-0.671	5.8871	0.18166
1	796	-0.6714	5.8866	0.18168
