sex	age	l	m	s	loh
1	338	-0.3859	16.9107	0.08034	L
1	339	-0.3869	16.9066	0.08033	L
1	340	-0.3878	16.9024	0.08032	L
1	341	-0.3888	16.8983	0.08031	L
1	342	-0.3898	16.8942	0.0803	L
1	343	-0.3907	16.89	0.08029	L
1	344	-0.3917	16.8859	0.08028	L
1	345	-0.3926	16.8817	0.08027	L
1	346	-0.3936	16.8776	0.08026	L
1	347	-0.3945	16.8735	0.08025	L
1	348	-0.3955	16.8693	0.08024	L
1	349	-0.3964	16.8652	0.08023	L
1	350	-0.3974	16.861	0.08022	L
1	351	-0.3983	16.8569	0.08022	L
1	352	-0.3993	16.8528	0.08021	L
1	353	-0.4002	16.8486	0.0802	L
1	354	-0.4011	16.8445	0.08019	L
1	355	-0.4021	16.8404	0.08018	L
1	356	-0.403	16.8363	0.08017	L
1	357	-0.4039	16.8321	0.08016	L
1	358	-0.4049	16.828	0.08015	L
1	359	-0.4058	16.8239	0.08014	L
1	360	-0.4067	16.8198	0.08013	L
1	361	-0.4076	16.8156	0.08012	L
1	362	-0.4085	16.8115	0.08011	L
1	363	-0.4095	16.8074	0.08011	L
1	364	-0.4104	16.8033	0.0801	L
1	365	-0.4113	16.7992	0.08009	L
1	366	-0.4122	16.7951	0.08008	L
1	367	-0.4131	16.7909	0.08007	L
1	368	-0.414	16.7868	0.08006	L
1	369	-0.4149	16.7827	0.08005	L
1	370	-0.4158	16.7786	0.08004	L
1	371	-0.4167	16.7745	0.08003	L
1	372	-0.4176	16.7704	0.08003	L
1	373	-0.4185	16.7663	0.08002	L
1	374	-0.4194	16.7622	0.08001	L
1	375	-0.4203	16.7582	0.08	L
1	376	-0.4211	16.7541	0.07999	L
1	377	-0.422	16.75	0.07998	L
1	378	-0.4229	16.7459	0.07997	L
1	379	-0.4238	16.7418	0.07996	L
1	380	-0.4247	16.7377	0.07996	L
1	381	-0.4255	16.7337	0.07995	L
1	382	-0.4264	16.7296	0.07994	L
1	383	-0.4273	16.7255	0.07993	L
1	384	-0.4282	16.7215	0.07992	L
1	385	-0.429	16.7174	0.07991	L
1	386	-0.4299	16.7134	0.0799	L
1	387	-0.4308	16.7093	0.0799	L
1	388	-0.4316	16.7053	0.07989	L
1	389	-0.4325	16.7012	0.07988	L
1	390	-0.4333	16.6972	0.07987	L
1	391	-0.4342	16.6932	0.07986	L
1	392	-0.435	16.6891	0.07985	L
1	393	-0.4359	16.6851	0.07984	L
1	394	-0.4367	16.6811	0.07984	L
1	395	-0.4376	16.6771	0.07983	L
1	396	-0.4384	16.6731	0.07982	L
1	397	-0.4393	16.6691	0.07981	L
1	398	-0.4401	16.6651	0.0798	L
1	399	-0.441	16.6611	0.0798	L
1	400	-0.4418	16.6571	0.07979	L
1	401	-0.4426	16.6531	0.07978	L
1	402	-0.4435	16.6491	0.07977	L
1	403	-0.4443	16.6451	0.07976	L
1	404	-0.4451	16.6412	0.07975	L
1	405	-0.446	16.6372	0.07975	L
1	406	-0.4468	16.6332	0.07974	L
1	407	-0.4476	16.6293	0.07973	L
1	408	-0.4484	16.6253	0.07972	L
1	409	-0.4493	16.6214	0.07971	L
1	410	-0.4501	16.6175	0.07971	L
1	411	-0.4509	16.6135	0.0797	L
1	412	-0.4517	16.6096	0.07969	L
1	413	-0.4525	16.6057	0.07968	L
1	414	-0.4533	16.6018	0.07967	L
1	415	-0.4541	16.5979	0.07966	L
1	416	-0.455	16.594	0.07966	L
1	417	-0.4558	16.5901	0.07965	L
1	418	-0.4566	16.5862	0.07964	L
1	419	-0.4574	16.5823	0.07963	L
1	420	-0.4582	16.5784	0.07963	L
1	421	-0.459	16.5745	0.07962	L
1	422	-0.4598	16.5707	0.07961	L
1	423	-0.4606	16.5668	0.0796	L
1	424	-0.4614	16.5629	0.07959	L
1	425	-0.4621	16.5591	0.07959	L
1	426	-0.4629	16.5553	0.07958	L
1	427	-0.4637	16.5514	0.07957	L
1	428	-0.4645	16.5476	0.07956	L
1	429	-0.4653	16.5438	0.07955	L
1	430	-0.4661	16.5399	0.07955	L
1	431	-0.4669	16.5361	0.07954	L
1	432	-0.4677	16.5323	0.07953	L
1	433	-0.4684	16.5285	0.07952	L
1	434	-0.4692	16.5247	0.07952	L
1	435	-0.47	16.5209	0.07951	L
1	436	-0.4708	16.5172	0.0795	L
1	437	-0.4715	16.5134	0.07949	L
1	438	-0.4723	16.5096	0.07949	L
1	439	-0.4731	16.5059	0.07948	L
1	440	-0.4738	16.5021	0.07947	L
1	441	-0.4746	16.4984	0.07946	L
1	442	-0.4754	16.4946	0.07946	L
1	443	-0.4761	16.4909	0.07945	L
1	444	-0.4769	16.4871	0.07944	L
1	445	-0.4777	16.4834	0.07943	L
1	446	-0.4784	16.4797	0.07943	L
1	447	-0.4792	16.476	0.07942	L
1	448	-0.4799	16.4723	0.07941	L
1	449	-0.4807	16.4686	0.0794	L
1	450	-0.4814	16.4649	0.0794	L
1	451	-0.4822	16.4612	0.07939	L
1	452	-0.4829	16.4576	0.07938	L
1	453	-0.4837	16.4539	0.07937	L
1	454	-0.4844	16.4502	0.07937	L
1	455	-0.4852	16.4466	0.07936	L
1	456	-0.4859	16.4429	0.07935	L
1	457	-0.4867	16.4393	0.07934	L
1	458	-0.4874	16.4357	0.07934	L
1	459	-0.4881	16.432	0.07933	L
1	460	-0.4889	16.4284	0.07932	L
1	461	-0.4896	16.4248	0.07931	L
1	462	-0.4903	16.4212	0.07931	L
1	463	-0.4911	16.4176	0.0793	L
1	464	-0.4918	16.414	0.07929	L
1	465	-0.4925	16.4104	0.07929	L
1	466	-0.4933	16.4069	0.07928	L
1	467	-0.494	16.4033	0.07927	L
1	468	-0.4947	16.3997	0.07926	L
1	469	-0.4954	16.3962	0.07926	L
1	470	-0.4962	16.3926	0.07925	L
1	471	-0.4969	16.3891	0.07924	L
1	472	-0.4976	16.3856	0.07924	L
1	473	-0.4983	16.3821	0.07923	L
1	474	-0.499	16.3785	0.07922	L
1	475	-0.4997	16.375	0.07921	L
1	476	-0.5005	16.3715	0.07921	L
1	477	-0.5012	16.368	0.0792	L
1	478	-0.5019	16.3646	0.07919	L
1	479	-0.5026	16.3611	0.07919	L
1	480	-0.5033	16.3576	0.07918	L
1	481	-0.504	16.3541	0.07917	L
1	482	-0.5047	16.3507	0.07916	L
1	483	-0.5054	16.3472	0.07916	L
1	484	-0.5061	16.3438	0.07915	L
1	485	-0.5068	16.3404	0.07914	L
1	486	-0.5075	16.3369	0.07914	L
1	487	-0.5082	16.3335	0.07913	L
1	488	-0.5089	16.3301	0.07912	L
1	489	-0.5096	16.3267	0.07912	L
1	490	-0.5103	16.3233	0.07911	L
1	491	-0.511	16.3199	0.0791	L
1	492	-0.5117	16.3165	0.07909	L
1	493	-0.5124	16.3131	0.07909	L
1	494	-0.5131	16.3098	0.07908	L
1	495	-0.5138	16.3064	0.07907	L
1	496	-0.5144	16.3031	0.07907	L
1	497	-0.5151	16.2997	0.07906	L
1	498	-0.5158	16.2964	0.07905	L
1	499	-0.5165	16.293	0.07905	L
1	500	-0.5172	16.2897	0.07904	L
1	501	-0.5179	16.2864	0.07903	L
1	502	-0.5185	16.2831	0.07903	L
1	503	-0.5192	16.2798	0.07902	L
1	504	-0.5199	16.2765	0.07901	L
1	505	-0.5206	16.2732	0.07901	L
1	506	-0.5212	16.2699	0.079	L
1	507	-0.5219	16.2666	0.07899	L
1	508	-0.5226	16.2634	0.07899	L
1	509	-0.5233	16.2601	0.07898	L
1	510	-0.5239	16.2568	0.07897	L
1	511	-0.5246	16.2536	0.07897	L
1	512	-0.5253	16.2504	0.07896	L
1	513	-0.5259	16.2471	0.07895	L
1	514	-0.5266	16.2439	0.07895	L
1	515	-0.5273	16.2407	0.07894	L
1	516	-0.5279	16.2375	0.07893	L
1	517	-0.5286	16.2343	0.07893	L
1	518	-0.5292	16.2311	0.07892	L
1	519	-0.5299	16.2279	0.07891	L
1	520	-0.5306	16.2247	0.07891	L
1	521	-0.5312	16.2215	0.0789	L
1	522	-0.5319	16.2184	0.07889	L
1	523	-0.5325	16.2152	0.07889	L
1	524	-0.5332	16.2121	0.07888	L
1	525	-0.5338	16.2089	0.07887	L
1	526	-0.5345	16.2058	0.07887	L
1	527	-0.5351	16.2027	0.07886	L
1	528	-0.5358	16.1996	0.07885	L
1	529	-0.5364	16.1964	0.07885	L
1	530	-0.5371	16.1933	0.07884	L
1	531	-0.5377	16.1902	0.07883	L
1	532	-0.5383	16.1872	0.07883	L
1	533	-0.539	16.1841	0.07882	L
1	534	-0.5396	16.181	0.07881	L
1	535	-0.5403	16.1779	0.07881	L
1	536	-0.5409	16.1749	0.0788	L
1	537	-0.5415	16.1718	0.0788	L
1	538	-0.5422	16.1688	0.07879	L
1	539	-0.5428	16.1658	0.07878	L
1	540	-0.5434	16.1627	0.07878	L
1	541	-0.5441	16.1597	0.07877	L
1	542	-0.5447	16.1567	0.07876	L
1	543	-0.5453	16.1537	0.07876	L
1	544	-0.546	16.1507	0.07875	L
1	545	-0.5466	16.1477	0.07874	L
1	546	-0.5472	16.1447	0.07874	L
1	547	-0.5479	16.1418	0.07873	L
1	548	-0.5485	16.1388	0.07873	L
1	549	-0.5491	16.1359	0.07872	L
1	550	-0.5497	16.1329	0.07871	L
1	551	-0.5503	16.13	0.07871	L
1	552	-0.551	16.127	0.0787	L
1	553	-0.5516	16.1241	0.07869	L
1	554	-0.5522	16.1212	0.07869	L
1	555	-0.5528	16.1183	0.07868	L
1	556	-0.5534	16.1154	0.07867	L
1	557	-0.5541	16.1125	0.07867	L
1	558	-0.5547	16.1096	0.07866	L
1	559	-0.5553	16.1067	0.07866	L
1	560	-0.5559	16.1039	0.07865	L
1	561	-0.5565	16.101	0.07864	L
1	562	-0.5571	16.0981	0.07864	L
1	563	-0.5577	16.0953	0.07863	L
1	564	-0.5583	16.0925	0.07863	L
1	565	-0.5589	16.0896	0.07862	L
1	566	-0.5595	16.0868	0.07861	L
1	567	-0.5602	16.084	0.07861	L
1	568	-0.5608	16.0812	0.0786	L
1	569	-0.5614	16.0784	0.07859	L
1	570	-0.562	16.0756	0.07859	L
1	571	-0.5626	16.0728	0.07858	L
1	572	-0.5632	16.0701	0.07858	L
1	573	-0.5638	16.0673	0.07857	L
1	574	-0.5644	16.0646	0.07856	L
1	575	-0.565	16.0618	0.07856	L
1	576	-0.5656	16.0591	0.07855	L
1	577	-0.5662	16.0564	0.07855	L
1	578	-0.5667	16.0536	0.07854	L
1	579	-0.5673	16.0509	0.07853	L
1	580	-0.5679	16.0482	0.07853	L
1	581	-0.5685	16.0455	0.07852	L
1	582	-0.5691	16.0429	0.07852	L
1	583	-0.5697	16.0402	0.07851	L
1	584	-0.5703	16.0375	0.0785	L
1	585	-0.5709	16.0349	0.0785	L
1	586	-0.5715	16.0322	0.07849	L
1	587	-0.5721	16.0296	0.07849	L
1	588	-0.5726	16.0269	0.07848	L
1	589	-0.5732	16.0243	0.07847	L
1	590	-0.5738	16.0217	0.07847	L
1	591	-0.5744	16.0191	0.07846	L
1	592	-0.575	16.0165	0.07846	L
1	593	-0.5755	16.0139	0.07845	L
1	594	-0.5761	16.0113	0.07844	L
1	595	-0.5767	16.0088	0.07844	L
1	596	-0.5773	16.0062	0.07843	L
1	597	-0.5779	16.0036	0.07843	L
1	598	-0.5784	16.0011	0.07842	L
1	599	-0.579	15.9986	0.07841	L
1	600	-0.5796	15.996	0.07841	L
1	601	-0.5802	15.9935	0.0784	L
1	602	-0.5807	15.991	0.0784	L
1	603	-0.5813	15.9885	0.07839	L
1	604	-0.5819	15.986	0.07838	L
1	605	-0.5824	15.9835	0.07838	L
1	606	-0.583	15.9811	0.07837	L
1	607	-0.5836	15.9786	0.07837	L
1	608	-0.5841	15.9761	0.07836	L
1	609	-0.5847	15.9737	0.07836	L
1	610	-0.5853	15.9713	0.07835	L
1	611	-0.5858	15.9688	0.07834	L
1	612	-0.5864	15.9664	0.07834	L
1	613	-0.587	15.964	0.07833	L
1	614	-0.5875	15.9616	0.07833	L
1	615	-0.5881	15.9592	0.07832	L
1	616	-0.5886	15.9568	0.07832	L
1	617	-0.5892	15.9544	0.07831	L
1	618	-0.5898	15.9521	0.0783	L
1	619	-0.5903	15.9497	0.0783	L
1	620	-0.5909	15.9473	0.07829	L
1	621	-0.5914	15.945	0.07829	L
1	622	-0.592	15.9427	0.07828	L
1	623	-0.5925	15.9403	0.07827	L
1	624	-0.5931	15.938	0.07827	L
1	625	-0.5936	15.9357	0.07826	L
1	626	-0.5942	15.9334	0.07826	L
1	627	-0.5947	15.9311	0.07825	L
1	628	-0.5953	15.9288	0.07825	L
1	629	-0.5958	15.9266	0.07824	L
1	630	-0.5964	15.9243	0.07824	L
1	631	-0.5969	15.922	0.07823	L
1	632	-0.5975	15.9198	0.07822	L
1	633	-0.598	15.9176	0.07822	L
1	634	-0.5986	15.9153	0.07821	L
1	635	-0.5991	15.9131	0.07821	L
1	636	-0.5996	15.9109	0.0782	L
1	637	-0.6002	15.9087	0.0782	L
1	638	-0.6007	15.9065	0.07819	L
1	639	-0.6013	15.9043	0.07818	L
1	640	-0.6018	15.9021	0.07818	L
1	641	-0.6023	15.9	0.07817	L
1	642	-0.6029	15.8978	0.07817	L
1	643	-0.6034	15.8956	0.07816	L
1	644	-0.604	15.8935	0.07816	L
